#Layer Chip Chan I J K
3 140 4 22 2 3
3 140 5 21 2 3
3 140 6 20 2 3
3 140 7 19 2 3
3 140 8 27 2 3
3 140 9 28 2 3
3 140 10 29 2 3
3 140 11 30 2 3
3 140 12 31 2 3
3 140 13 32 2 3
3 140 14 33 2 3
3 140 15 34 2 3
3 140 16 35 2 3
3 140 17 36 2 3
3 140 18 36 1 3
3 140 19 35 1 3
3 140 20 34 1 3
3 140 21 33 1 3
3 140 22 32 1 3
3 140 23 31 1 3
3 140 24 30 1 3
3 140 25 29 1 3
3 140 26 28 1 3
3 140 27 27 1 3
3 140 28 19 1 3
3 140 29 20 1 3
3 140 30 21 1 3
3 140 31 22 1 3
3 140 32 23 1 3
3 140 33 24 1 3
3 140 34 25 1 3
3 140 35 26 1 3
4 233 0 12 12 4
4 233 1 11 12 4
4 233 2 10 12 4
4 233 3 9 12 4
4 233 4 8 12 4
4 233 5 7 12 4
4 233 6 12 11 4
4 233 7 11 11 4
4 233 8 10 11 4
4 233 9 9 11 4
4 233 10 8 11 4
4 233 11 7 11 4
4 233 12 12 10 4
4 233 13 11 10 4
4 233 14 10 10 4
4 233 15 9 10 4
4 233 16 8 10 4
4 233 17 7 10 4
4 233 18 12 9 4
4 233 19 11 9 4
4 233 20 10 9 4
4 233 21 9 9 4
4 233 22 8 9 4
4 233 23 7 9 4
4 233 24 12 8 4
4 233 25 11 8 4
4 233 26 10 8 4
4 233 27 9 8 4
4 233 28 8 8 4
4 233 29 7 8 4
4 233 30 12 7 4
4 233 31 11 7 4
4 233 32 10 7 4
4 233 33 9 7 4
4 233 34 8 7 4
4 233 35 7 7 4
4 234 0 18 12 4
4 234 1 17 12 4
4 234 2 16 12 4
4 234 3 15 12 4
4 234 4 14 12 4
4 234 5 13 12 4
4 234 6 18 11 4
4 234 7 17 11 4
4 234 8 16 11 4
4 234 9 15 11 4
4 234 10 14 11 4
4 234 11 13 11 4
4 234 12 18 10 4
4 234 13 17 10 4
4 234 14 16 10 4
4 234 15 15 10 4
4 234 16 14 10 4
4 234 17 13 10 4
4 234 18 18 9 4
4 234 19 17 9 4
4 234 20 16 9 4
4 234 21 15 9 4
4 234 22 14 9 4
4 234 23 13 9 4
4 234 24 18 8 4
4 234 25 17 8 4
4 234 26 16 8 4
4 234 27 15 8 4
4 234 28 14 8 4
4 234 29 13 8 4
4 234 30 18 7 4
4 234 31 17 7 4
4 234 32 16 7 4
4 234 33 15 7 4
4 234 34 14 7 4
4 234 35 13 7 4
4 235 0 7 18 4
4 235 1 8 18 4
4 235 2 9 18 4
4 235 3 10 18 4
4 235 4 11 18 4
4 235 5 12 18 4
4 235 6 7 17 4
4 235 7 8 17 4
4 235 8 9 17 4
4 235 9 10 17 4
4 235 10 11 17 4
4 235 11 12 17 4
4 235 12 7 16 4
4 235 13 8 16 4
4 235 14 9 16 4
4 235 15 10 16 4
4 235 16 11 16 4
4 235 17 12 16 4
4 235 18 7 15 4
4 235 19 8 15 4
4 235 20 9 15 4
4 235 21 10 15 4
4 235 22 11 15 4
4 235 23 12 15 4
4 235 24 7 14 4
4 235 25 8 14 4
4 235 26 9 14 4
4 235 27 10 14 4
4 235 28 11 14 4
4 235 29 12 14 4
4 235 30 7 13 4
4 235 31 8 13 4
4 235 32 9 13 4
4 235 33 10 13 4
4 235 34 11 13 4
4 235 35 12 13 4
4 236 0 13 18 4
4 236 1 14 18 4
4 236 2 15 18 4
4 236 3 16 18 4
4 236 4 17 18 4
4 236 5 18 18 4
4 236 6 13 17 4
4 236 7 14 17 4
4 236 8 15 17 4
4 236 9 16 17 4
4 236 10 17 17 4
4 236 11 18 17 4
4 236 12 13 16 4
4 236 13 14 16 4
4 236 14 15 16 4
4 236 15 16 16 4
4 236 16 17 16 4
4 236 17 18 16 4
4 236 18 13 15 4
4 236 19 14 15 4
4 236 20 15 15 4
4 236 21 16 15 4
4 236 22 17 15 4
4 236 23 18 15 4
4 236 24 13 14 4
4 236 25 14 14 4
4 236 26 15 14 4
4 236 27 16 14 4
4 236 28 17 14 4
4 236 29 18 14 4
4 236 30 13 13 4
4 236 31 14 13 4
4 236 32 15 13 4
4 236 33 16 13 4
4 236 34 17 13 4
4 236 35 18 13 4
5 165 0 12 12 5
5 165 1 11 12 5
5 165 2 10 12 5
5 165 3 9 12 5
5 165 4 8 12 5
5 165 5 7 12 5
5 165 6 12 11 5
5 165 7 11 11 5
5 165 8 10 11 5
5 165 9 9 11 5
5 165 10 8 11 5
5 165 11 7 11 5
5 165 12 12 10 5
5 165 13 11 10 5
5 165 14 10 10 5
5 165 15 9 10 5
5 165 16 8 10 5
5 165 17 7 10 5
5 165 18 12 9 5
5 165 19 11 9 5
5 165 20 10 9 5
5 165 21 9 9 5
5 165 22 8 9 5
5 165 23 7 9 5
5 165 24 12 8 5
5 165 25 11 8 5
5 165 26 10 8 5
5 165 27 9 8 5
5 165 28 8 8 5
5 165 29 7 8 5
5 165 30 12 7 5
5 165 31 11 7 5
5 165 32 10 7 5
5 165 33 9 7 5
5 165 34 8 7 5
5 165 35 7 7 5
5 166 0 18 12 5
5 166 1 17 12 5
5 166 2 16 12 5
5 166 3 15 12 5
5 166 4 14 12 5
5 166 5 13 12 5
5 166 6 18 11 5
5 166 7 17 11 5
5 166 8 16 11 5
5 166 9 15 11 5
5 166 10 14 11 5
5 166 11 13 11 5
5 166 12 18 10 5
5 166 13 17 10 5
5 166 14 16 10 5
5 166 15 15 10 5
5 166 16 14 10 5
5 166 17 13 10 5
5 166 18 18 9 5
5 166 19 17 9 5
5 166 20 16 9 5
5 166 21 15 9 5
5 166 22 14 9 5
5 166 23 13 9 5
5 166 24 18 8 5
5 166 25 17 8 5
5 166 26 16 8 5
5 166 27 15 8 5
5 166 28 14 8 5
5 166 29 13 8 5
5 166 30 18 7 5
5 166 31 17 7 5
5 166 32 16 7 5
5 166 33 15 7 5
5 166 34 14 7 5
5 166 35 13 7 5
5 167 0 7 18 5
5 167 1 8 18 5
5 167 2 9 18 5
5 167 3 10 18 5
5 167 4 11 18 5
5 167 5 12 18 5
5 167 6 7 17 5
5 167 7 8 17 5
5 167 8 9 17 5
5 167 9 10 17 5
5 167 10 11 17 5
5 167 11 12 17 5
5 167 12 7 16 5
5 167 13 8 16 5
5 167 14 9 16 5
5 167 15 10 16 5
5 167 16 11 16 5
5 167 17 12 16 5
5 167 18 7 15 5
5 167 19 8 15 5
5 167 20 9 15 5
5 167 21 10 15 5
5 167 22 11 15 5
5 167 23 12 15 5
5 167 24 7 14 5
5 167 25 8 14 5
5 167 26 9 14 5
5 167 27 10 14 5
5 167 28 11 14 5
5 167 29 12 14 5
5 167 30 7 13 5
5 167 31 8 13 5
5 167 32 9 13 5
5 167 33 10 13 5
5 167 34 11 13 5
5 167 35 12 13 5
5 168 0 13 18 5
5 168 1 14 18 5
5 168 2 15 18 5
5 168 3 16 18 5
5 168 4 17 18 5
5 168 5 18 18 5
5 168 6 13 17 5
5 168 7 14 17 5
5 168 8 15 17 5
5 168 9 16 17 5
5 168 10 17 17 5
5 168 11 18 17 5
5 168 12 13 16 5
5 168 13 14 16 5
5 168 14 15 16 5
5 168 15 16 16 5
