#Layer Chip Chan I J K
6 157 20 9 15 6
6 157 21 9 16 6
6 157 22 9 17 6
6 157 23 9 18 6
6 157 24 8 13 6
6 157 25 8 14 6
6 157 26 8 15 6
6 157 27 8 16 6
6 157 28 8 17 6
6 157 29 8 18 6
6 157 30 7 13 6
6 157 31 7 14 6
6 157 32 7 15 6
6 157 33 7 16 6
6 157 34 7 17 6
6 157 35 7 18 6
6 158 0 12 7 6
6 158 1 12 8 6
6 158 2 12 9 6
6 158 3 12 10 6
6 158 4 12 11 6
6 158 5 12 12 6
6 158 6 11 7 6
6 158 7 11 8 6
6 158 8 11 9 6
6 158 9 11 10 6
6 158 10 11 11 6
6 158 11 11 12 6
6 158 12 10 7 6
6 158 13 10 8 6
6 158 14 10 9 6
6 158 15 10 10 6
6 158 16 10 11 6
6 158 17 10 12 6
6 158 18 9 7 6
6 158 19 9 8 6
6 158 20 9 9 6
6 158 21 9 10 6
6 158 22 9 11 6
6 158 23 9 12 6
6 158 24 8 7 6
6 158 25 8 8 6
6 158 26 8 9 6
6 158 27 8 10 6
6 158 28 8 11 6
6 158 29 8 12 6
6 158 30 7 7 6
6 158 31 7 8 6
6 158 32 7 9 6
6 158 33 7 10 6
6 158 34 7 11 6
6 158 35 7 12 6
6 159 0 18 18 6
6 159 1 18 17 6
6 159 2 18 16 6
6 159 3 18 15 6
6 159 4 18 14 6
6 159 5 18 13 6
6 159 6 17 18 6
6 159 7 17 17 6
6 159 8 17 16 6
6 159 9 17 15 6
6 159 10 17 14 6
6 159 11 17 13 6
6 159 12 16 18 6
6 159 13 16 17 6
6 159 14 16 16 6
6 159 15 16 15 6
6 159 16 16 14 6
6 159 17 16 13 6
6 159 18 15 18 6
6 159 19 15 17 6
6 159 20 15 16 6
6 159 21 15 15 6
6 159 22 15 14 6
6 159 23 15 13 6
6 159 24 14 18 6
6 159 25 14 17 6
6 159 26 14 16 6
6 159 27 14 15 6
6 159 28 14 14 6
6 159 29 14 13 6
6 159 30 13 18 6
6 159 31 13 17 6
6 159 32 13 16 6
6 159 33 13 15 6
6 159 34 13 14 6
6 159 35 13 13 6
6 160 0 18 12 6
6 160 1 18 11 6
6 160 2 18 10 6
6 160 3 18 9 6
6 160 4 18 8 6
6 160 5 18 7 6
6 160 6 17 12 6
6 160 7 17 11 6
6 160 8 17 10 6
6 160 9 17 9 6
6 160 10 17 8 6
6 160 11 17 7 6
6 160 12 16 12 6
6 160 13 16 11 6
6 160 14 16 10 6
6 160 15 16 9 6
6 160 16 16 8 6
6 160 17 16 7 6
6 160 18 15 12 6
6 160 19 15 11 6
6 160 20 15 10 6
6 160 21 15 9 6
6 160 22 15 8 6
6 160 23 15 7 6
6 160 24 14 12 6
6 160 25 14 11 6
6 160 26 14 10 6
6 160 27 14 9 6
6 160 28 14 8 6
6 160 29 14 7 6
6 160 30 13 12 6
6 160 31 13 11 6
6 160 32 13 10 6
6 160 33 13 9 6
6 160 34 13 8 6
6 160 35 13 7 6
7 153 0 12 13 7
7 153 1 12 14 7
7 153 2 12 15 7
7 153 3 12 16 7
7 153 4 12 17 7
7 153 5 12 18 7
7 153 6 11 13 7
7 153 7 11 14 7
7 153 8 11 15 7
7 153 9 11 16 7
7 153 10 11 17 7
7 153 11 11 18 7
7 153 12 10 13 7
7 153 13 10 14 7
7 153 14 10 15 7
7 153 15 10 16 7
7 153 16 10 17 7
7 153 17 10 18 7
7 153 18 9 13 7
7 153 19 9 14 7
7 153 20 9 15 7
7 153 21 9 16 7
7 153 22 9 17 7
7 153 23 9 18 7
7 153 24 8 13 7
7 153 25 8 14 7
7 153 26 8 15 7
7 153 27 8 16 7
7 153 28 8 17 7
7 153 29 8 18 7
7 153 30 7 13 7
7 153 31 7 14 7
7 153 32 7 15 7
7 153 33 7 16 7
7 153 34 7 17 7
7 153 35 7 18 7
7 154 0 12 7 7
7 154 1 12 8 7
7 154 2 12 9 7
7 154 3 12 10 7
7 154 4 12 11 7
7 154 5 12 12 7
7 154 6 11 7 7
7 154 7 11 8 7
7 154 8 11 9 7
7 154 9 11 10 7
7 154 10 11 11 7
7 154 11 11 12 7
7 154 12 10 7 7
7 154 13 10 8 7
7 154 14 10 9 7
7 154 15 10 10 7
7 154 16 10 11 7
7 154 17 10 12 7
7 154 18 9 7 7
7 154 19 9 8 7
7 154 20 9 9 7
7 154 21 9 10 7
7 154 22 9 11 7
7 154 23 9 12 7
7 154 24 8 7 7
7 154 25 8 8 7
7 154 26 8 9 7
7 154 27 8 10 7
7 154 28 8 11 7
7 154 29 8 12 7
7 154 30 7 7 7
7 154 31 7 8 7
7 154 32 7 9 7
7 154 33 7 10 7
7 154 34 7 11 7
7 154 35 7 12 7
7 155 0 18 18 7
7 155 1 18 17 7
7 155 2 18 16 7
7 155 3 18 15 7
7 155 4 18 14 7
7 155 5 18 13 7
7 155 6 17 18 7
7 155 7 17 17 7
7 155 8 17 16 7
7 155 9 17 15 7
7 155 10 17 14 7
7 155 11 17 13 7
7 155 12 16 18 7
7 155 13 16 17 7
7 155 14 16 16 7
7 155 15 16 15 7
7 155 16 16 14 7
7 155 17 16 13 7
7 155 18 15 18 7
7 155 19 15 17 7
7 155 20 15 16 7
7 155 21 15 15 7
7 155 22 15 14 7
7 155 23 15 13 7
7 155 24 14 18 7
7 155 25 14 17 7
7 155 26 14 16 7
7 155 27 14 15 7
7 155 28 14 14 7
7 155 29 14 13 7
7 155 30 13 18 7
7 155 31 13 17 7
7 155 32 13 16 7
7 155 33 13 15 7
7 155 34 13 14 7
7 155 35 13 13 7
7 156 0 18 12 7
7 156 1 18 11 7
7 156 2 18 10 7
7 156 3 18 9 7
7 156 4 18 8 7
7 156 5 18 7 7
7 156 6 17 12 7
7 156 7 17 11 7
7 156 8 17 10 7
7 156 9 17 9 7
7 156 10 17 8 7
7 156 11 17 7 7
7 156 12 16 12 7
7 156 13 16 11 7
7 156 14 16 10 7
7 156 15 16 9 7
7 156 16 16 8 7
7 156 17 16 7 7
7 156 18 15 12 7
7 156 19 15 11 7
7 156 20 15 10 7
7 156 21 15 9 7
7 156 22 15 8 7
7 156 23 15 7 7
7 156 24 14 12 7
7 156 25 14 11 7
7 156 26 14 10 7
7 156 27 14 9 7
7 156 28 14 8 7
7 156 29 14 7 7
7 156 30 13 12 7
7 156 31 13 11 7
7 156 32 13 10 7
7 156 33 13 9 7
7 156 34 13 8 7
7 156 35 13 7 7
8 149 0 12 13 8
8 149 1 12 14 8
8 149 2 12 15 8
8 149 3 12 16 8
8 149 4 12 17 8
8 149 5 12 18 8
8 149 6 11 13 8
8 149 7 11 14 8
8 149 8 11 15 8
8 149 9 11 16 8
8 149 10 11 17 8
8 149 11 11 18 8
8 149 12 10 13 8
8 149 13 10 14 8
8 149 14 10 15 8
8 149 15 10 16 8
8 149 16 10 17 8
8 149 17 10 18 8
8 149 18 9 13 8
8 149 19 9 14 8
8 149 20 9 15 8
8 149 21 9 16 8
8 149 22 9 17 8
8 149 23 9 18 8
8 149 24 8 13 8
8 149 25 8 14 8
8 149 26 8 15 8
8 149 27 8 16 8
8 149 28 8 17 8
8 149 29 8 18 8
8 149 30 7 13 8
8 149 31 7 14 8
8 149 32 7 15 8
8 149 33 7 16 8
8 149 34 7 17 8
8 149 35 7 18 8
8 150 0 12 7 8
8 150 1 12 8 8
8 150 2 12 9 8
8 150 3 12 10 8
8 150 4 12 11 8
8 150 5 12 12 8
8 150 6 11 7 8
8 150 7 11 8 8
8 150 8 11 9 8
8 150 9 11 10 8
8 150 10 11 11 8
8 150 11 11 12 8
8 150 12 10 7 8
8 150 13 10 8 8
8 150 14 10 9 8
8 150 15 10 10 8
8 150 16 10 11 8
8 150 17 10 12 8
8 150 18 9 7 8
8 150 19 9 8 8
8 150 20 9 9 8
8 150 21 9 10 8
8 150 22 9 11 8
8 150 23 9 12 8
8 150 24 8 7 8
8 150 25 8 8 8
8 150 26 8 9 8
8 150 27 8 10 8
8 150 28 8 11 8
8 150 29 8 12 8
8 150 30 7 7 8
8 150 31 7 8 8
8 150 32 7 9 8
8 150 33 7 10 8
8 150 34 7 11 8
8 150 35 7 12 8
8 151 0 18 18 8
8 151 1 18 17 8
8 151 2 18 16 8
8 151 3 18 15 8
8 151 4 18 14 8
8 151 5 18 13 8
8 151 6 17 18 8
8 151 7 17 17 8
8 151 8 17 16 8
8 151 9 17 15 8
8 151 10 17 14 8
8 151 11 17 13 8
8 151 12 16 18 8
8 151 13 16 17 8
8 151 14 16 16 8
8 151 15 16 15 8
8 151 16 16 14 8
8 151 17 16 13 8
8 151 18 15 18 8
8 151 19 15 17 8
8 151 20 15 16 8
8 151 21 15 15 8
8 151 22 15 14 8
8 151 23 15 13 8
8 151 24 14 18 8
8 151 25 14 17 8
8 151 26 14 16 8
8 151 27 14 15 8
8 151 28 14 14 8
8 151 29 14 13 8
8 151 30 13 18 8
8 151 31 13 17 8
8 151 32 13 16 8
8 151 33 13 15 8
8 151 34 13 14 8
8 151 35 13 13 8
8 152 0 18 12 8
8 152 1 18 11 8
8 152 2 18 10 8
8 152 3 18 9 8
8 152 4 18 8 8
8 152 5 18 7 8
8 152 6 17 12 8
8 152 7 17 11 8
8 152 8 17 10 8
8 152 9 17 9 8
8 152 10 17 8 8
8 152 11 17 7 8
8 152 12 16 12 8
8 152 13 16 11 8
8 152 14 16 10 8
8 152 15 16 9 8
8 152 16 16 8 8
8 152 17 16 7 8
8 152 18 15 12 8
8 152 19 15 11 8
8 152 20 15 10 8
8 152 21 15 9 8
8 152 22 15 8 8
8 152 23 15 7 8
8 152 24 14 12 8
8 152 25 14 11 8
8 152 26 14 10 8
8 152 27 14 9 8
8 152 28 14 8 8
8 152 29 14 7 8
8 152 30 13 12 8
8 152 31 13 11 8
8 152 32 13 10 8
8 152 33 13 9 8
8 152 34 13 8 8
8 152 35 13 7 8
9 145 0 12 13 9
9 145 1 12 14 9
9 145 2 12 15 9
9 145 3 12 16 9
9 145 4 12 17 9
9 145 5 12 18 9
9 145 6 11 13 9
9 145 7 11 14 9
9 145 8 11 15 9
9 145 9 11 16 9
9 145 10 11 17 9
