#Layer Chip Chan I J K
3 239 4 7 14 3
3 239 5 7 13 3
3 239 6 8 18 3
3 239 7 8 17 3
3 239 8 8 16 3
3 239 9 8 15 3
3 239 10 8 14 3
3 239 11 8 13 3
3 239 12 9 18 3
3 239 13 9 17 3
3 239 14 9 16 3
3 239 15 9 15 3
3 239 16 9 14 3
3 239 17 9 13 3
3 239 18 10 18 3
3 239 19 10 17 3
3 239 20 10 16 3
3 239 21 10 15 3
3 239 22 10 14 3
3 239 23 10 13 3
3 239 24 11 18 3
3 239 25 11 17 3
3 239 26 11 16 3
3 239 27 11 15 3
3 239 28 11 14 3
3 239 29 11 13 3
3 239 30 12 18 3
3 239 31 12 17 3
3 239 32 12 16 3
3 239 33 12 15 3
3 239 34 12 14 3
3 239 35 12 13 3
3 240 0 7 12 3
3 240 1 7 11 3
3 240 2 7 10 3
3 240 3 7 9 3
3 240 4 7 8 3
3 240 5 7 7 3
3 240 6 8 12 3
3 240 7 8 11 3
3 240 8 8 10 3
3 240 9 8 9 3
3 240 10 8 8 3
3 240 11 8 7 3
3 240 12 9 12 3
3 240 13 9 11 3
3 240 14 9 10 3
3 240 15 9 9 3
3 240 16 9 8 3
3 240 17 9 7 3
3 240 18 10 12 3
3 240 19 10 11 3
3 240 20 10 10 3
3 240 21 10 9 3
3 240 22 10 8 3
3 240 23 10 7 3
3 240 24 11 12 3
3 240 25 11 11 3
3 240 26 11 10 3
3 240 27 11 9 3
3 240 28 11 8 3
3 240 29 11 7 3
3 240 30 12 12 3
3 240 31 12 11 3
3 240 32 12 10 3
3 240 33 12 9 3
3 240 34 12 8 3
3 240 35 12 7 3
